ref_date,city,province,crime_severity_index,percent_change_in_crime_severity_index,violent_crime_severity_index,percent_change_in_violent_crime_severity_index,non_violent_crime_severity_index,percent_change_in_youth_non_violent_crime_severity_index,weighted_clearance_rate,percent_change_in_weighted_clearance_rate,violent_weighted_clearance_rate,percent_change_in_violent_weighted_clearance_rate,non_violent_weighted_clearance_rate,percent_change_in_non_violent_weighted_clearance_rate
2007,Edmonton,Alberta,128.64,-0.86,127.96,10.5,128.9,0,29.65,-1.43,40.26,-12.84,25.6,3.35
2008,Edmonton,Alberta,122.69,-4.63,130.95,2.34,119.52,0,32.46,9.48,43.03,6.88,28,9.38
2009,Edmonton,Alberta,114.74,-6.48,118.04,-9.86,113.47,0,34.41,6.01,50.4,17.13,28.01,0.04
2010,Edmonton,Alberta,101.81,-11.27,107.26,-9.13,99.71,0,38.33,11.39,54.39,7.92,31.69,13.14
2011,Edmonton,Alberta,87.05,-14.5,104.71,-2.38,80.45,NA,42.28,10.31,54.88,0.9,36.31,14.58
2012,Edmonton,Alberta,84.68,-2.72,96.09,-8.23,80.35,NA,41.79,-1.16,54.38,-0.91,36.32,0.03
2013,Edmonton,Alberta,85.86,1.39,91.54,-4.74,83.62,NA,41.71,-0.19,56.57,4.03,35.79,-1.46
2014,Edmonton,Alberta,88.48,3.05,94.8,3.56,86,NA,42.7,2.37,58.96,4.22,36.18,1.09
2015,Edmonton,Alberta,103.42,16.89,105.95,11.76,102.29,NA,39.6,-7.26,55.27,-6.26,33.69,-6.88
2016,Edmonton,Alberta,107.37,3.82,102.95,-2.83,108.7,NA,39.91,0.78,53.98,-2.33,35.11,4.21
2017,Edmonton,Alberta,113.63,5.83,108.19,5.09,115.32,NA,40.01,0.25,56.91,5.43,34.31,-2.28
2018,Edmonton,Alberta,116.49,2.52,108.96,0.71,118.92,NA,38.35,-4.15,54.49,-4.25,33.03,-3.73
2019,Edmonton,Alberta,115.68,-0.7,110.3,1.23,117.35,NA,35.29,-7.98,50.62,-7.1,30.11,-8.84
2020,Edmonton,Alberta,105.37,-8.91,111.91,1.46,102.77,NA,35.38,0.26,52.44,3.6,28.7,-4.68
2021,Edmonton,Alberta,97.45,-7.52,109.98,-1.72,92.72,NA,35.02,-1.02,50.4,-3.89,28.45,-0.87
2000,Greater Sudbury,Ontario,98.88,-0.74,70.32,-9.9,109.86,NA,32.51,-4.83,72.63,-2,22.64,-1.78
2001,Greater Sudbury,Ontario,94.61,-4.32,86.84,23.49,97.6,NA,37.33,14.83,77.05,6.09,23.74,4.86
2002,Greater Sudbury,Ontario,88.28,-6.69,74.73,-13.95,93.49,NA,36.59,-1.98,72.21,-6.28,25.64,8
2003,Greater Sudbury,Ontario,88.92,0.72,61.38,-17.86,99.51,NA,33.21,-9.24,73.75,2.13,23.6,-7.96
2004,Greater Sudbury,Ontario,81.98,-7.8,56.56,-7.85,91.76,NA,35.1,5.69,78.54,6.49,24.81,5.13
2005,Greater Sudbury,Ontario,82.09,0.13,75.58,33.63,84.59,NA,38.19,8.8,72.59,-7.58,26.38,6.33
2006,Greater Sudbury,Ontario,89.56,9.1,94.03,24.41,87.84,0,39.1,2.38,63.69,-12.26,28.97,9.82
2007,Greater Sudbury,Ontario,78.97,-11.82,91.38,-2.82,74.2,0,46.18,18.11,71.48,12.23,34.2,18.05
2008,Greater Sudbury,Ontario,73.34,-7.13,75.12,-17.79,72.65,0,44.8,-2.99,70.35,-1.58,34.64,1.29
2009,Greater Sudbury,Ontario,80.94,10.36,98.29,30.84,74.27,0,44.11,-1.54,65.86,-6.38,33.04,-4.62
2010,Greater Sudbury,Ontario,84.36,4.23,84.92,-13.6,84.14,0,39.69,-10.02,69.48,5.5,28.13,-14.86
2011,Greater Sudbury,Ontario,79.09,-6.25,78.44,-7.63,79.16,NA,43.28,9.05,66.84,-3.8,34.79,23.68
2012,Greater Sudbury,Ontario,71.37,-9.76,74.68,-4.79,70.02,NA,47.13,8.9,77.11,15.37,35.49,2.01
2013,Greater Sudbury,Ontario,66.68,-6.57,65.93,-11.72,66.82,NA,46.41,-1.53,73.94,-4.11,36.52,2.9
2014,Greater Sudbury,Ontario,61.18,-8.25,63.95,-3,60.05,NA,42.53,-8.36,70.7,-4.38,31.62,-13.42
2015,Greater Sudbury,Ontario,59.37,-2.96,64.49,0.84,57.39,NA,47.12,10.79,79.03,11.78,34.07,7.75
2016,Greater Sudbury,Ontario,66.62,12.21,62.53,-3.04,67.93,NA,41.33,-12.29,78.31,-0.91,29.08,-14.65
2017,Greater Sudbury,Ontario,75.52,13.36,76.9,22.98,74.85,NA,41.27,-0.15,77.26,-1.34,27.97,-3.82
2018,Greater Sudbury,Ontario,79.87,5.76,88.92,15.63,76.42,NA,41.59,0.78,68.73,-11.04,30.23,8.08
2019,Greater Sudbury,Ontario,82.44,3.22,95.32,7.2,77.61,NA,41.34,-0.6,68.81,0.12,29.21,-3.37
2020,Greater Sudbury,Ontario,88.18,6.96,112.47,17.99,79.23,NA,39.98,-3.29,72.17,4.88,23.54,-19.41
2021,Greater Sudbury,Ontario,84.39,-4.3,127.15,13.05,68.81,NA,44.66,11.71,70.54,-2.26,27.46,16.65
2006,Guelph,Ontario,59.92,NA,62.68,NA,58.86,NA,35.53,NA,54.72,NA,27.67,NA
2007,Guelph,Ontario,59.3,-1.03,48.98,-21.86,63.27,0,39.24,10.44,79.36,45.03,27.3,-1.34
2008,Guelph,Ontario,57.66,-2.77,42.27,-13.7,63.57,0,35.62,-9.23,68.42,-13.79,27.23,-0.26
2009,Guelph,Ontario,59.91,3.9,51.26,21.27,63.24,0,39.84,11.85,70.11,2.47,30.41,11.68
2010,Guelph,Ontario,50.71,-15.36,44.83,-12.54,52.96,0,46.47,16.64,68.33,-2.54,39.36,29.43
2011,Guelph,Ontario,47.86,-5.62,50.21,12,46.9,NA,39.91,-14.12,64.09,-6.21,30.48,-22.56
2012,Guelph,Ontario,50.79,6.12,53.28,6.11,49.79,NA,44.33,11.07,71.35,11.33,33.81,10.93
2013,Guelph,Ontario,43.2,-14.94,42.45,-20.33,43.38,NA,50.48,13.87,90.29,26.55,36.31,7.39
2014,Guelph,Ontario,48.28,11.76,47.1,10.95,48.61,NA,47.31,-6.28,76.17,-15.64,37.14,2.29
2015,Guelph,Ontario,49.35,2.22,47.74,1.36,49.84,NA,48.11,1.69,77.87,2.23,37.74,1.62
2016,Guelph,Ontario,54.6,10.64,49.87,4.46,56.17,NA,42.51,-11.64,77.43,-0.57,31.36,-16.91
2017,Guelph,Ontario,65.83,20.57,59.16,18.63,68.08,NA,41.2,-3.08,63.14,-18.46,34.34,9.5
2018,Guelph,Ontario,70.97,7.81,62.56,5.75,73.82,NA,42.15,2.31,71.66,13.49,33.15,-3.47
2019,Guelph,Ontario,65.29,-8,52.63,-15.87,69.69,NA,44.05,4.51,71.16,-0.7,36.69,10.68
2020,Guelph,Ontario,63.22,-3.17,66.33,26.03,61.95,NA,43.74,-0.7,71.24,0.11,33.15,-9.65
2021,Guelph,Ontario,58.22,-7.91,51.55,-22.28,60.48,NA,41.26,-5.67,63.2,-11.29,34.53,4.16
2000,Hamilton,Ontario,95.54,-5.95,90.36,-1.61,97.53,NA,36.95,20.08,56.63,-4.39,29.95,41.14
2001,Hamilton,Ontario,101.33,6.06,89.32,-1.15,105.95,NA,35.48,-3.98,57.71,1.91,28.27,-5.61
2002,Hamilton,Ontario,96.67,-4.6,91.67,2.63,98.59,NA,35.45,-0.08,52.5,-9.03,29.35,3.82
2003,Hamilton,Ontario,94.27,-2.48,88.42,-3.55,96.52,NA,33.16,-6.46,51.16,-2.55,26.82,-8.62
2004,Hamilton,Ontario,81.82,-13.21,81.37,-7.97,81.99,NA,31.18,-5.97,49.92,-2.42,24.03,-10.4
2005,Hamilton,Ontario,84.08,2.76,88.9,9.25,82.22,NA,30.33,-2.73,48.75,-2.34,22.67,-5.66
2006,Hamilton,Ontario,84.55,0.56,92.16,3.67,81.62,0,29.42,-3,48.4,-0.72,21.18,-6.57
2007,Hamilton,Ontario,84.59,0.05,98.57,6.96,79.22,0,33.55,14.04,51.97,7.38,24.74,16.81
2008,Hamilton,Ontario,77.75,-8.09,88.72,-9.99,73.53,0,35.79,6.68,54.13,4.16,27.28,10.27
2009,Hamilton,Ontario,74.67,-3.96,85.79,-3.3,70.39,0,36.96,3.27,56.88,5.08,27.63,1.28
2010,Hamilton,Ontario,71.53,-4.21,81.18,-5.37,67.82,0,33.06,-10.55,51.16,-10.06,24.72,-10.53
2011,Hamilton,Ontario,64.91,-9.25,74.89,-7.75,61.14,NA,35.25,6.62,55.25,7.99,26.34,6.55
2012,Hamilton,Ontario,61.12,-5.84,62.87,-16.05,60.35,NA,35.61,1.02,55.96,1.29,27.89,5.88
2013,Hamilton,Ontario,55.53,-9.15,60.49,-3.79,53.61,NA,34.47,-3.2,56.66,1.25,25.35,-9.11
2014,Hamilton,Ontario,51.47,-7.31,56.37,-6.81,49.58,NA,35.85,4,55.32,-2.36,27.79,9.63
2015,Hamilton,Ontario,51.39,-0.16,55.7,-1.19,49.71,NA,36.79,2.62,55.44,0.22,29.18,5
2016,Hamilton,Ontario,54.29,5.64,66.73,19.8,49.69,NA,38.13,3.64,57.06,2.92,28.99,-0.65
2017,Hamilton,Ontario,60.22,10.92,76.95,15.32,54.06,NA,37.65,-1.26,51.53,-9.69,30.54,5.35
2018,Hamilton,Ontario,58.25,-3.27,67.44,-12.36,54.81,NA,36.58,-2.84,53.04,2.93,29.29,-4.09
2019,Hamilton,Ontario,60.12,3.21,73.93,9.62,55.01,NA,39.46,7.87,57.63,8.65,30.67,4.71
2020,Hamilton,Ontario,55.72,-7.32,76.9,4.02,47.97,NA,40.78,3.35,55.08,-4.42,32.54,6.1
2021,Hamilton,Ontario,56.85,2.03,76.49,-0.53,49.65,NA,39.83,-2.33,59.17,7.43,29.11,-10.54
2001,Kingston,Ontario,82.61,NA,56.38,NA,92.7,NA,44.98,NA,69.72,NA,39.19,NA
2002,Kingston,Ontario,82.42,-0.23,68.83,22.08,87.64,NA,37.77,-16.03,70.35,0.9,27.94,-28.71
2003,Kingston,Ontario,85.67,3.94,70.18,1.96,91.62,NA,41.14,8.92,68.69,-2.36,33.02,18.18
2004,Kingston,Ontario,82.96,-3.16,66.65,-5.03,89.23,NA,37.71,-8.34,63.98,-6.86,30.16,-8.66
2005,Kingston,Ontario,83.14,0.22,73.64,10.49,86.79,NA,39.35,4.35,70.93,10.86,29.04,-3.71
2006,Kingston,Ontario,79.22,-4.71,69.09,-6.18,83.11,0,39.82,1.19,66.19,-6.68,31.39,8.09
2007,Kingston,Ontario,70.5,-11.01,60.67,-12.19,74.28,0,42.36,6.38,76.3,15.27,31.7,0.99
2008,Kingston,Ontario,67.83,-3.79,60.46,-0.35,70.66,0,45.17,6.63,72.79,-4.6,36.09,13.85
2009,Kingston,Ontario,64.5,-4.91,69.15,14.37,62.71,0,47.5,5.16,82.15,12.86,32.81,-9.09
2010,Kingston,Ontario,62.18,-3.6,54.46,-21.24,65.15,0,41.26,-13.14,78.61,-4.31,29.25,-10.85
2011,Kingston,Ontario,59.29,-4.65,48.44,-11.05,63.11,NA,47.37,14.81,71.45,-9.11,40.64,38.94
2012,Kingston,Ontario,58.29,-1.69,53.51,10.47,59.9,NA,46.2,-2.47,70.32,-1.58,38.36,-5.61
2013,Kingston,Ontario,55.15,-5.39,49.02,-8.39,57.27,NA,49.56,7.27,77,9.5,41.02,6.93
2014,Kingston,Ontario,56.3,2.09,45.55,-7.08,60.1,NA,43.06,-13.12,76.41,-0.77,33.86,-17.45
2015,Kingston,Ontario,57.65,2.4,55.61,22.09,58.27,NA,43.13,0.16,82.27,7.67,29.54,-12.76
2016,Kingston,Ontario,56.46,-2.06,41.27,-25.79,61.79,NA,40.22,-6.75,78.95,-4.04,30.92,4.67
2017,Kingston,Ontario,62.28,10.31,62.9,52.41,61.9,NA,41.61,3.46,73.8,-6.52,29.85,-3.46
2018,Kingston,Ontario,70.32,12.91,72.85,15.82,69.24,NA,42.02,0.99,75.4,2.17,29.39,-1.54
2019,Kingston,Ontario,68.2,-3.01,67.76,-6.99,68.19,NA,41.79,-0.55,73.66,-2.31,30.4,3.44
2020,Kingston,Ontario,70.45,3.3,74.17,9.46,68.94,NA,39.7,-5,73.43,-0.31,26.65,-12.34
2021,Kingston,Ontario,72.78,3.31,75.97,2.43,71.46,NA,32.76,-17.48,57.45,-21.76,23.32,-12.5
2000,Kitchener-Cambridge-Waterloo,Ontario,87.24,-6.33,66.12,8.59,95.37,NA,30.56,0.46,64.46,-1.65,21.52,-4.9
2001,Kitchener-Cambridge-Waterloo,Ontario,80.51,-7.71,57.76,-12.64,89.25,NA,29.67,-2.91,62.39,-3.21,21.52,0
2002,Kitchener-Cambridge-Waterloo,Ontario,81.13,0.77,54.26,-6.06,91.47,NA,28.89,-2.63,62.37,-0.03,21.25,-1.25
2003,Kitchener-Cambridge-Waterloo,Ontario,78.3,-3.49,56.21,3.59,86.8,NA,29.66,2.67,59.24,-5.02,22.29,4.89
2004,Kitchener-Cambridge-Waterloo,Ontario,84.07,7.37,72.01,28.11,88.71,NA,34.65,16.82,64.56,8.98,25.32,13.59
2005,Kitchener-Cambridge-Waterloo,Ontario,78.3,-6.86,62.13,-13.72,84.51,NA,35.74,3.15,64.7,0.22,27.56,8.85
2006,Kitchener-Cambridge-Waterloo,Ontario,79.69,1.78,72.43,16.58,82.49,0,43,20.31,68.88,6.46,34.27,24.35
2007,Kitchener-Cambridge-Waterloo,Ontario,71.47,-10.31,67.09,-7.37,73.15,0,45.97,6.91,66.69,-3.18,38.66,12.81
2008,Kitchener-Cambridge-Waterloo,Ontario,69.24,-3.12,61.18,-8.81,72.33,0,43.73,-4.87,69.25,3.84,35.43,-8.35
2009,Kitchener-Cambridge-Waterloo,Ontario,74.6,7.74,65.91,7.73,77.94,0,41.74,-4.55,64.64,-6.66,34.29,-3.22
2010,Kitchener-Cambridge-Waterloo,Ontario,68.76,-7.83,70.23,6.55,68.19,0,42.89,2.76,61.01,-5.62,35.72,4.17
2011,Kitchener-Cambridge-Waterloo,Ontario,64.09,-6.79,71.55,1.88,61.24,NA,43.1,0.49,60.88,-0.21,35.54,-0.5
2012,Kitchener-Cambridge-Waterloo,Ontario,59.48,-7.19,62.09,-13.22,58.41,NA,40.15,-6.84,57.29,-5.9,33.52,-5.68
2013,Kitchener-Cambridge-Waterloo,Ontario,57.56,-3.23,57.84,-6.84,57.33,NA,40.13,-0.05,60.32,5.29,32.71,-2.42
2014,Kitchener-Cambridge-Waterloo,Ontario,55.81,-3.04,51.56,-10.86,57.24,NA,39.63,-1.25,58.76,-2.59,33.36,1.99
2015,Kitchener-Cambridge-Waterloo,Ontario,60.59,8.56,55.46,7.56,62.33,NA,39.2,-1.09,56.82,-3.3,33.5,0.42
2016,Kitchener-Cambridge-Waterloo,Ontario,60.78,0.31,59.66,7.57,61.04,NA,42.18,7.6,61.46,8.17,35.4,5.67
2017,Kitchener-Cambridge-Waterloo,Ontario,69.5,14.35,73.15,22.61,68.02,NA,39.82,-5.6,57.34,-6.7,33.05,-6.64
2018,Kitchener-Cambridge-Waterloo,Ontario,74.18,6.73,80.16,9.58,71.85,NA,38,-4.57,54.59,-4.8,31.34,-5.17
2019,Kitchener-Cambridge-Waterloo,Ontario,73.66,-0.7,88.04,9.83,68.31,NA,35.26,-7.21,50.7,-7.13,28.09,-10.37
2020,Kitchener-Cambridge-Waterloo,Ontario,75.1,1.95,85.19,-3.24,71.3,NA,32.93,-6.61,53.38,5.29,24.15,-14.03
2021,Kitchener-Cambridge-Waterloo,Ontario,79.39,5.71,86.59,1.64,76.62,NA,28.02,-14.91,44.18,-17.23,21.45,-11.18
2000,London,Ontario,110.19,0.71,70.82,0.01,125.33,NA,39.8,0.99,70.17,6.79,33.21,-1.28
2001,London,Ontario,101.94,-7.49,70.34,-0.68,114.1,NA,38.66,-2.86,68.04,-3.04,31.7,-4.55
2002,London,Ontario,99.78,-2.12,66.08,-6.06,112.74,NA,39.52,2.22,66.32,-2.53,33.48,5.62
2003,London,Ontario,97.76,-2.02,66.77,1.04,109.68,NA,39.32,-0.51,66.95,0.95,32.85,-1.88
2004,London,Ontario,90.93,-6.99,71.46,7.02,98.41,NA,40.74,3.61,65.15,-2.69,33.92,3.26
2005,London,Ontario,93.45,2.77,75.71,5.95,100.27,NA,42.06,3.24,67.52,3.64,34.67,2.21
2006,London,Ontario,102.1,9.26,82.1,8.44,109.8,0,41.05,-2.4,65.49,-3.01,34.03,-1.85
2007,London,Ontario,89.19,-12.64,68.59,-16.46,97.11,0,42.91,4.53,71.7,9.48,35.09,3.11
2008,London,Ontario,84.89,-4.82,65.35,-4.72,92.41,0,43.22,0.72,69.91,-2.5,35.96,2.48
2009,London,Ontario,88.43,4.17,70.42,7.76,95.35,0,41.9,-3.05,68.43,-2.12,34.36,-4.45
2010,London,Ontario,83.62,-5.44,75.26,6.87,86.83,0,45.9,9.55,71.74,4.84,37.29,8.53
2011,London,Ontario,79.92,-4.42,71.66,-4.78,82.76,NA,46.63,1.59,71.58,-0.22,38.78,4
2012,London,Ontario,75.66,-5.33,65.06,-9.21,79.36,NA,46.55,-0.17,72.86,1.79,38.7,-0.21
2013,London,Ontario,67.85,-10.32,57.79,-11.17,71.38,NA,47.08,1.14,74.85,2.73,38.9,0.52
2014,London,Ontario,66.31,-2.27,47.34,-18.08,73.08,NA,42.93,-8.81,71.99,-3.82,36.07,-7.28
2015,London,Ontario,65.96,-0.53,56.94,20.28,69.11,NA,41.7,-2.87,71.02,-1.35,32.91,-8.76
2016,London,Ontario,68.16,3.34,59.77,4.97,71.02,NA,39.6,-5.04,71.9,1.24,29.82,-9.39
2017,London,Ontario,71.3,4.61,62.17,4.02,74.42,NA,38.09,-3.81,70.06,-2.56,28.49,-4.46
2018,London,Ontario,76.59,7.42,63.18,1.62,81.24,NA,36.69,-3.68,67.44,-3.74,28.08,-1.44
2019,London,Ontario,76.01,-0.76,64.85,2.64,79.84,NA,35.29,-3.82,67.87,0.64,25.77,-8.23
2020,London,Ontario,74.82,-1.57,68.84,6.15,76.79,NA,32.34,-8.36,60.64,-10.65,23.21,-9.93
2021,London,Ontario,80.09,7.04,92.81,34.82,75.32,NA,32.76,1.3,57.11,-5.82,21.97,-5.34
2000,Montréal,Quebec,123.33,-4.22,132.79,-4.74,119.69,NA,28.98,3.91,48.8,3.26,20.52,4.91
2001,Montréal,Quebec,113.53,-7.95,123.35,-7.11,109.76,NA,29.59,2.1,50.88,4.26,20.39,-0.63
2002,Montréal,Quebec,108.63,-4.32,120.58,-2.25,104.04,NA,28.66,-3.14,51.19,0.61,18.62,-8.68
2003,Montréal,Quebec,106.97,-1.53,121.1,0.43,101.54,NA,30.09,4.99,51.59,0.78,20.23,8.65
2004,Montréal,Quebec,102.83,-3.87,118.37,-2.25,96.86,NA,31.27,3.92,53.57,3.84,20.8,2.82
2005,Montréal,Quebec,103.45,0.6,117.91,-0.39,97.89,NA,29.7,-5.02,50.76,-5.25,19.94,-4.13
2006,Montréal,Quebec,103.59,0.14,117.93,0.02,98.07,0,30.57,2.93,53.22,4.85,20.1,0.8
2007,Montréal,Quebec,94.62,-8.66,109.16,-7.44,89.03,0,31.07,1.64,52.41,-1.52,21,4.48
2008,Montréal,Quebec,91.34,-3.47,105.81,-3.07,85.77,0,30.54,-1.71,51.55,-1.64,20.57,-2.05
2009,Montréal,Quebec,89.45,-2.07,102.3,-3.32,84.52,0,32.2,5.44,53.7,4.17,22.2,7.92
2010,Montréal,Quebec,82.97,-7.24,98.5,-3.71,76.99,0,32.59,1.21,54.65,1.77,21.74,-2.07
2011,Montréal,Quebec,79.85,-3.76,98.07,-0.44,73.05,NA,31.46,-3.47,51.2,-6.31,21.82,0.37
2012,Montréal,Quebec,75.1,-5.95,88.78,-9.47,69.97,NA,33.77,7.34,54.68,6.8,24.12,10.54
2013,Montréal,Quebec,66.62,-11.29,80.13,-9.74,61.56,NA,34.72,2.81,55.95,2.32,24.66,2.24
2014,Montréal,Quebec,60.87,-8.63,73.28,-8.55,56.22,NA,36.76,5.88,61.31,9.58,25.11,1.82
2015,Montréal,Quebec,61.47,0.99,77.44,5.68,55.53,NA,36.57,-0.52,60.03,-2.09,24.66,-1.79
2016,Montréal,Quebec,58.7,-4.51,72.28,-6.66,53.67,NA,36.55,-0.05,61.58,2.58,24.42,-0.97
2017,Montréal,Quebec,59.05,0.6,74.41,2.95,53.39,NA,38.43,5.14,64.14,4.16,25.54,4.59
2018,Montréal,Quebec,58.21,-1.42,71.92,-3.35,53.14,NA,36.28,-5.59,61.6,-3.96,23.96,-6.19
2019,Montréal,Quebec,57.71,-0.86,75.98,5.65,51,NA,37.4,3.09,60.49,-1.8,25.03,4.47
2020,Montréal,Quebec,52.82,-8.47,73.13,-3.75,45.39,NA,37.43,0.08,60.7,0.35,23.95,-4.31
2021,Montréal,Quebec,55.93,5.89,82.04,12.18,46.4,NA,34.27,-8.44,55.02,-9.36,21.08,-11.98
2000,Ottawa-Gatineau,Ontario/Quebec,86.15,-8.88,80.62,-1.02,88.28,NA,28.51,8.65,55.13,8.72,19.16,3.29
2001,Ottawa-Gatineau,Ontario/Quebec,85.08,-1.24,84.17,4.4,85.43,NA,30.16,5.79,55.99,1.56,20.38,6.37
2002,Ottawa-Gatineau,Ontario/Quebec,87.27,2.57,83.84,-0.39,88.58,NA,31.21,3.48,58.45,4.39,21.3,4.51
2003,Ottawa-Gatineau,Ontario/Quebec,89.93,3.05,85.8,2.34,91.52,NA,30.44,-2.47,55.13,-5.68,21.53,1.08
2004,Ottawa-Gatineau,Ontario/Quebec,82.31,-8.47,78.55,-8.45,83.75,NA,33.09,8.71,60,8.83,23.38,8.59
2005,Ottawa-Gatineau,Ontario/Quebec,84.38,2.51,80.95,3.06,85.7,NA,30.93,-6.53,53.84,-10.27,22.62,-3.25
2006,Ottawa-Gatineau,Ontario/Quebec,82.48,-2.25,83.09,2.64,82.24,0,33.57,8.54,53.82,-0.04,25.7,13.62
2007,Ottawa-Gatineau,Ontario/Quebec,76.74,-6.96,73.46,-11.59,78.01,0,34.95,4.11,54.07,0.46,28.03,9.07
2008,Ottawa-Gatineau,Ontario/Quebec,69.96,-8.84,73.95,0.67,68.42,0,38.96,11.47,59.91,10.8,30.26,7.96
2009,Ottawa-Gatineau,Ontario/Quebec,68.41,-2.22,76.99,4.11,65.11,0,40.08,2.87,59.69,-0.37,31.16,2.97
2010,Ottawa-Gatineau,Ontario/Quebec,62.37,-8.83,65.61,-14.78,61.12,0,40.95,2.17,58.61,-1.81,33.66,8.02
2011,Ottawa-Gatineau,Ontario/Quebec,59.4,-4.76,63.94,-2.55,57.62,NA,41.29,0.83,58.94,0.56,34.17,1.52
2012,Ottawa-Gatineau,Ontario/Quebec,59.96,0.94,61.46,-3.88,59.29,NA,41.39,0.24,65.29,10.77,32.37,-5.27
2013,Ottawa-Gatineau,Ontario/Quebec,51.16,-14.68,58.62,-4.62,48.34,NA,42.36,2.34,59.24,-9.27,34.91,7.85
2014,Ottawa-Gatineau,Ontario/Quebec,47.88,-6.41,52.16,-11.02,46.22,NA,41.77,-1.39,60.67,2.41,34.01,-2.58
2015,Ottawa-Gatineau,Ontario/Quebec,48.52,1.34,54.74,4.95,46.16,NA,41.41,-0.86,60.44,-0.38,33.19,-2.41
2016,Ottawa-Gatineau,Ontario/Quebec,52.24,7.67,63.12,15.31,48.2,NA,40.62,-1.91,58.85,-2.63,32.03,-3.5
2017,Ottawa-Gatineau,Ontario/Quebec,52.5,0.5,65.5,3.77,47.71,NA,40.66,0.1,59.51,1.12,31.36,-2.09
