2001 Community Profiles

"Geo_Code","Prov_Name","CD_Name","CSD_Name","CSD_Type","Topic","Characteristic","Note","Total","Male","Female","Flag"
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Immigration Characteristics","   Non-permanent residents","26","0","10","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Aboriginal Population","Total - All persons","","2165","1110","1055","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Aboriginal Population","   Aboriginal identity population","27","1295","650","650","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Aboriginal Population","   Non-Aboriginal population","","865","460","405","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","Total population by visible minority groups","","2160","1110","1050","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","   Visible minority population","31","55","25","25","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Chinese","","15","0","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      South Asian","","10","10","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Black","","10","0","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Filipino","","10","0","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Latin American","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Southeast Asian","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Arab","","0","10","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      West Asian","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Korean","","10","10","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Japanese","","10","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Visible minority, n.i.e","28","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","      Multiple visible minorities","29","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Visible Minority Status","   All others","30","2110","1085","1030","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","Total - Religion","","2160","1105","1055","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Catholic","57","1200","620","580","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Protestant","","540","260","280","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Christian Orthodox","","10","0","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Christian, n.i.e.","58","30","15","15","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Muslim","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Jewish","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Buddhist","","10","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Hindu","","10","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Sikh","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Eastern religions","59","10","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   Other religions","60","20","10","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Religion","   No religious affiliation","61","340","185","155","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","School Attendance","Total population 15 years and over attending school full time","","265","135","135","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","School Attendance","   Age group 15-19 attending full time","50","120","60","50","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","School Attendance","   Age group 20-24 attending full time","","65","35","35","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","School Attendance","Total population 15 years and over attending school part time","","100","50","55","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","School Attendance","   Age group 15-19 attending part time","50","0","0","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","School Attendance","   Age group 20-24 attending part time","","0","10","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","Total population aged 20-34","","445","210","235","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 20-34 with less than a high school graduation certificate","","18","19","17","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 20-34 with a high school graduation certificate and/or some postsecondary","46","27","26.2","27.7","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 20-34 with a trades certificate or diploma","","13.5","19","6.4","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 20-34 with a college certificate or diploma","47","22.5","19","25.5","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 20-34 with a university certificate, diploma or degree","","19.1","16.7","21.3","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","Total population aged 35-44","","350","170","180","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 35-44 with less than a high school graduation certificate","","20","23.5","16.7","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 35-44 with a high school graduation certificate and/or some postsecondary","46","14.3","11.8","16.7","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 35-44 with a trades certificate or diploma","","18.6","23.5","13.9","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 35-44 with a college certificate or diploma","47","27.1","20.6","33.3","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 35-44 with a university certificate, diploma or degree","","21.4","23.5","19.4","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","Total population aged 45-64","","505","265","240","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 45-64 with less than a high school graduation certificate","","20.8","20.8","22.9","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 45-64 with a high school graduation certificate and/or some postsecondary","46","12.9","9.4","16.7","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 45-64 with a trades certificate or diploma","","20.8","30.2","12.5","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 45-64 with a college certificate or diploma","47","20.8","18.9","22.9","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Highest Level of Schooling","   % of the population aged 45-64 with a university certificate, diploma or degree","","23.8","22.6","27.1","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Earnings in 2000"," All persons with earnings (counts)","48","1300","655","650","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Earnings in 2000"," Average earnings (all persons with earnings ($))","","33532","36124","30904","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Earnings in 2000"," Worked full year, full time (counts)","49","645","335","305","R",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Earnings in 2000"," Average earnings (worked full year, full time ($))","","48334","51837","44489","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Income in 2000","Persons 15 years of age and over with income","53","1545","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Income in 2000","Median total income of persons 15 years of age and over ($)","54","30231","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Income in 2000","Composition of total income (100%)","62","100","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Income in 2000","   Earnings - % of income","","84.4","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Income in 2000","   Government transfers - % of income","","9.5","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Income in 2000","   Other money - % of income","","5.8","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language Used Most Often at Work","Total - Population 15 years and over who worked since 2000","44","1350","680","665","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language Used Most Often at Work","   English","","1330","680","655","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language Used Most Often at Work","   French","","10","10","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language Used Most Often at Work","   Non-official language","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language Used Most Often at Work","   English and French","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language Used Most Often at Work","   English and non-official language","","10","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language Used Most Often at Work","   French and non-official language","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Language Used Most Often at Work","   English, French and non-official language","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Place of Work Status","Employed labour force 15 years and over","32","1100","560","545","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Place of Work Status","   Worked at home","","55","35","30","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Place of Work Status","   Worked outside Canada","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Place of Work Status","   No fixed workplace address","","70","55","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Place of Work Status","   Worked at usual place","","975","470","510","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mode of Transportation to Work","Total -All modes","33","1045","525","515","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mode of Transportation to Work","   Car, truck, van, as driver","","625","330","300","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mode of Transportation to Work","   Car, truck, van, as passenger","","90","35","60","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mode of Transportation to Work","   Public transit","","0","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mode of Transportation to Work","   Walked or bicycled","","285","135","150","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Mode of Transportation to Work","   Other method","","40","25","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Unpaid Work"," Persons reporting hours of unpaid work","34","1520","750","770","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Unpaid Work"," Persons reporting hours of unpaid housework","35","1500","735","760","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Unpaid Work"," Persons reporting hours looking after children, without pay","36","715","305","410","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Unpaid Work"," Persons reporting hours of unpaid care or assistance to seniors","37","300","130","165","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Labour Force Indicators"," Participation rate","38","76.1","77.6","75.2","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Labour Force Indicators"," Employment rate","39","67.3","67.9","67.1","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Labour Force Indicators"," Unemployment rate","40","11.2","12.5","9.9","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Industry","Total - Experienced labour force","41","1220","620","595","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Industry","   Agriculture and other resource-based industries","","80","60","15","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Industry","   Manufacturing and construction industries","","65","65","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Industry","   Wholesale and retail trade","","135","65","70","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Industry","   Finance and real estate","","25","10","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Industry","   Health and education","","340","105","240","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Industry","   Business services","","150","95","55","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Industry","   Other services","","425","225","200","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","Total - Experienced labour force","41","1220","615","600","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Management occupations","","145","90","55","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Business, finance and administration occupations","","205","30","180","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Natural and applied sciences and related occupations","","90","75","20","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Health occupations","","55","0","45","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Social science, education, government service and religion","","200","85","115","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Art, culture, recreation and sport","","35","15","15","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Sales and service occupations","","270","110","160","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Trades, transport and equipment operators and related occupations","","155","145","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Occupations unique to primary industry","","50","45","10","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Occupation","   Occupations unique to processing, manufacturing and utilities","","10","0","0","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","Total number of families","","575","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Number of married-couple families","","310","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Average number of persons in married-couple families","","3.4","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Number of common-law couple families","11","135","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Average number of persons in common-law-couple families","11","3.2","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Number of lone-parent families","12","130","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Average number of persons in lone-parent families","12","2.8","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Number of female lone-parent families","12","100","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Average number of persons in female lone-parent families","12","2.7","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Number of male lone-parent families","12","30","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Average number of persons in male lone-parent families","12","2.5","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","Median family income, 2000 ($) - All census families","51","64981","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Median family income, 2000 ($) - Couple families","52","79616","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Family Characteristics","   Median family income, 2000 ($) - Lone-parent families","","37248","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","Total - All private households","","810","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","   Households containing a couple (married or common-law) with children","13","260","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","   Households containing a couple (married or common-law) without children","14","170","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","   One-person households","","225","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","   Other household types","15","155","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","Median household income, 2000 ($) - All households","","57088","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","   Median household income, 2000 ($) - One-person households","","31968","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","   Median household income, 2000 ($) - Two-or-more-persons households","","68181","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","Number of rented dwellings","55","290","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","   Average gross monthly payments for rented dwellings ($)","","530","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","Number of owner-occupied dwellings","56","520","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Household Characteristics","   Average monthly payments for owner-occupied dwellings ($)","","721","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Occupied Private Dwelling Characteristics","Total number of dwellings","16","810","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Occupied Private Dwelling Characteristics","   Number of owned dwellings","17","520","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Occupied Private Dwelling Characteristics","   Number of rented dwellings","18","290","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Occupied Private Dwelling Characteristics","   Number of dwellings constructed before 1991","","685","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Occupied Private Dwelling Characteristics","   Number of dwellings constructed between 1991 and 2001","","130","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Selected Occupied Private Dwelling Characteristics","   Average value of dwelling ($)","","85230","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Health Status","Self-rated health, 2005","62","","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Health Status","   Low 95% confidence interval","","","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Health Status","   High 95% confidence interval","","","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Health Status","Adult obesity, 2005","63","","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Health Status","   Low 95% confidence interval","","","","","",
"6106001","Northwest Territories","FORT SMITH REGION","FORT SMITH","Town","Health Status","   High 95% confidence interval","","","","","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Population and Dwelling Counts","Population in 2001","1","61","","","E",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Population and Dwelling Counts"," Population in 1996","2","86","","","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Population and Dwelling Counts"," 1996 to 2001 population change (%)","","-29.1","","","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Population and Dwelling Counts"," Total private dwellings","","25","","","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Population and Dwelling Counts"," Population density per square kilometre","","0.2","","","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Population and Dwelling Counts"," Land area (square km)","","286.9","","","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Age Characteristics of the Population","Total - All persons","3","60","30","30","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Age Characteristics of the Population","   Age 0-4","","0","0","0","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Age Characteristics of the Population","   Age 5-14","","15","5","5","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Age Characteristics of the Population","   Age 15-19","","5","5","5","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Age Characteristics of the Population","   Age 20-24","","5","5","0","",
"6106003","Northwest Territories","FORT SMITH REGION","ENTERPRISE","Settlement","Age Characteristics of the Population","   Age 25-44","","20","10","10","",
