2001 Community Profiles

"Geo_Code","Prov_Name","CD_Name","CSD_Name","CSD_Type","Topic","Characteristic","Note","Total","Male","Female","Flag"
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language(s) First Learned and Still Understood","Total - All persons","19","910","465","450","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language(s) First Learned and Still Understood","   English only","","820","420","400","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language(s) First Learned and Still Understood","   French only","","30","15","15","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language(s) First Learned and Still Understood","   Both English and French","","10","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language(s) First Learned and Still Understood","   Other languages","20","60","20","35","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mobility Status - Place of Residence 1 Year Ago","Total population 1 year and over","21","900","460","445","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mobility Status - Place of Residence 1 Year Ago","   Lived at the same address 1 year ago","","715","365","345","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mobility Status - Place of Residence 1 Year Ago","   Lived within the same province/territory 1 year ago, but changed address","","120","60","65","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mobility Status - Place of Residence 1 Year Ago","   Lived in a different province/territory or country 1 year ago","","65","30","35","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mobility Status - Place of Residence 5 Years Ago","Total population 5 years and over","22","850","430","420","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mobility Status - Place of Residence 5 Years Ago","   Lived at the same address 5 years ago","","465","240","230","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mobility Status - Place of Residence 5 Years Ago","   Lived within the same province/territory 5 years ago, but changed address","","230","115","110","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mobility Status - Place of Residence 5 Years Ago","   Lived in a different province/territory or country 5 years ago","","150","75","80","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Immigration Characteristics","Total - All persons","","910","465","445","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Immigration Characteristics","   Canadian-born population","23","850","435","410","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Immigration Characteristics","   Foreign-born population","24","65","30","30","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Immigration Characteristics","      Immigrated before 1991","","45","20","25","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Immigration Characteristics","      Immigrated between 1991 and 2001","25","20","10","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Immigration Characteristics","   Non-permanent residents","26","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Aboriginal Population","Total - All persons","","910","465","445","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Aboriginal Population","   Aboriginal identity population","27","260","120","145","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Aboriginal Population","   Non-Aboriginal population","","645","345","305","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","Total population by visible minority groups","","910","460","450","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","   Visible minority population","31","15","0","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Chinese","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      South Asian","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Black","","10","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Filipino","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Latin American","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Southeast Asian","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Arab","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      West Asian","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Korean","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Japanese","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Visible minority, n.i.e","28","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","      Multiple visible minorities","29","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Visible Minority Status","   All others","30","895","455","440","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","Total - Religion","","910","460","445","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Catholic","57","225","115","115","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Protestant","","235","115","120","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Christian Orthodox","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Christian, n.i.e.","58","60","25","35","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Muslim","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Jewish","","10","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Buddhist","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Hindu","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Sikh","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Eastern religions","59","10","0","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   Other religions","60","10","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Religion","   No religious affiliation","61","375","205","170","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","School Attendance","Total population 15 years and over attending school full time","","65","30","30","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","School Attendance","   Age group 15-19 attending full time","50","45","20","25","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","School Attendance","   Age group 20-24 attending full time","","10","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","School Attendance","Total population 15 years and over attending school part time","","35","15","20","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","School Attendance","   Age group 15-19 attending part time","50","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","School Attendance","   Age group 20-24 attending part time","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","Total population aged 20-34","","175","80","95","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 20-34 with less than a high school graduation certificate","","25.7","18.8","31.6","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 20-34 with a high school graduation certificate and/or some postsecondary","46","37.1","43.8","26.3","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 20-34 with a trades certificate or diploma","","14.3","18.8","10.5","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 20-34 with a college certificate or diploma","47","14.3","12.5","10.5","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 20-34 with a university certificate, diploma or degree","","11.4","0","15.8","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","Total population aged 35-44","","175","90","85","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 35-44 with less than a high school graduation certificate","","17.1","16.7","23.5","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 35-44 with a high school graduation certificate and/or some postsecondary","46","25.7","27.8","23.5","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 35-44 with a trades certificate or diploma","","25.7","27.8","23.5","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 35-44 with a college certificate or diploma","47","20","16.7","23.5","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 35-44 with a university certificate, diploma or degree","","11.4","11.1","11.8","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","Total population aged 45-64","","210","110","105","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 45-64 with less than a high school graduation certificate","","23.8","22.7","19","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 45-64 with a high school graduation certificate and/or some postsecondary","46","21.4","22.7","23.8","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 45-64 with a trades certificate or diploma","","26.2","36.4","9.5","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 45-64 with a college certificate or diploma","47","16.7","9.1","23.8","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Highest Level of Schooling","   % of the population aged 45-64 with a university certificate, diploma or degree","","11.9","9.1","19","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Earnings in 2000"," All persons with earnings (counts)","48","550","275","280","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Earnings in 2000"," Average earnings (all persons with earnings ($))","","26573","29501","23645","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Earnings in 2000"," Worked full year, full time (counts)","49","255","125","130","R",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Earnings in 2000"," Average earnings (worked full year, full time ($))","","34242","37241","31195","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Income in 2000","Persons 15 years of age and over with income","53","645","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Income in 2000","Median total income of persons 15 years of age and over ($)","54","22251","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Income in 2000","Composition of total income (100%)","62","100","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Income in 2000","   Earnings - % of income","","86.7","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Income in 2000","   Government transfers - % of income","","9.7","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Income in 2000","   Other money - % of income","","2.8","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language Used Most Often at Work","Total - Population 15 years and over who worked since 2000","44","575","285","290","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language Used Most Often at Work","   English","","575","285","285","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language Used Most Often at Work","   French","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language Used Most Often at Work","   Non-official language","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language Used Most Often at Work","   English and French","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language Used Most Often at Work","   English and non-official language","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language Used Most Often at Work","   French and non-official language","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Language Used Most Often at Work","   English, French and non-official language","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Place of Work Status","Employed labour force 15 years and over","32","465","225","240","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Place of Work Status","   Worked at home","","15","0","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Place of Work Status","   Worked outside Canada","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Place of Work Status","   No fixed workplace address","","75","65","15","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Place of Work Status","   Worked at usual place","","370","150","215","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mode of Transportation to Work","Total -All modes","33","450","220","230","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mode of Transportation to Work","   Car, truck, van, as driver","","310","155","150","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mode of Transportation to Work","   Car, truck, van, as passenger","","15","10","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mode of Transportation to Work","   Public transit","","0","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mode of Transportation to Work","   Walked or bicycled","","105","45","65","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Mode of Transportation to Work","   Other method","","10","10","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Unpaid Work"," Persons reporting hours of unpaid work","34","610","300","305","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Unpaid Work"," Persons reporting hours of unpaid housework","35","605","300","305","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Unpaid Work"," Persons reporting hours looking after children, without pay","36","265","115","150","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Unpaid Work"," Persons reporting hours of unpaid care or assistance to seniors","37","105","55","55","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Labour Force Indicators"," Participation rate","38","79.3","80.6","79.1","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Labour Force Indicators"," Employment rate","39","68.9","67.2","71.6","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Labour Force Indicators"," Unemployment rate","40","13.1","16.7","9.4","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Industry","Total - Experienced labour force","41","530","265","265","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Industry","   Agriculture and other resource-based industries","","40","35","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Industry","   Manufacturing and construction industries","","60","55","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Industry","   Wholesale and retail trade","","55","30","30","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Industry","   Finance and real estate","","10","10","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Industry","   Health and education","","100","15","80","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Industry","   Business services","","70","40","30","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Industry","   Other services","","185","85","105","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","Total - Experienced labour force","41","525","260","260","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Management occupations","","50","30","20","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Business, finance and administration occupations","","80","10","65","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Natural and applied sciences and related occupations","","20","15","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Health occupations","","25","10","20","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Social science, education, government service and religion","","65","15","50","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Art, culture, recreation and sport","","15","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Sales and service occupations","","130","45","85","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Trades, transport and equipment operators and related occupations","","100","90","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Occupations unique to primary industry","","30","35","10","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Occupation","   Occupations unique to processing, manufacturing and utilities","","10","0","0","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","Total number of families","","245","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Number of married-couple families","","125","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Average number of persons in married-couple families","","3.2","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Number of common-law couple families","11","65","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Average number of persons in common-law-couple families","11","3","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Number of lone-parent families","12","55","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Average number of persons in lone-parent families","12","2.9","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Number of female lone-parent families","12","45","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Average number of persons in female lone-parent families","12","2.6","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Number of male lone-parent families","12","10","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Average number of persons in male lone-parent families","12","3","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","Median family income, 2000 ($) - All census families","51","48256","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Median family income, 2000 ($) - Couple families","52","55936","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Family Characteristics","   Median family income, 2000 ($) - Lone-parent families","","28736","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","Total - All private households","","365","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","   Households containing a couple (married or common-law) with children","13","100","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","   Households containing a couple (married or common-law) without children","14","95","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","   One-person households","","105","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","   Other household types","15","65","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","Median household income, 2000 ($) - All households","","41344","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","   Median household income, 2000 ($) - One-person households","","24960","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","   Median household income, 2000 ($) - Two-or-more-persons households","","49963","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","Number of rented dwellings","55","165","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","   Average gross monthly payments for rented dwellings ($)","","666","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","Number of owner-occupied dwellings","56","190","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Household Characteristics","   Average monthly payments for owner-occupied dwellings ($)","","662","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Occupied Private Dwelling Characteristics","Total number of dwellings","16","360","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Occupied Private Dwelling Characteristics","   Number of owned dwellings","17","190","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Occupied Private Dwelling Characteristics","   Number of rented dwellings","18","170","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Occupied Private Dwelling Characteristics","   Number of dwellings constructed before 1991","","315","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Occupied Private Dwelling Characteristics","   Number of dwellings constructed between 1991 and 2001","","45","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Selected Occupied Private Dwelling Characteristics","   Average value of dwelling ($)","","106052","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Health Status","Self-rated health, 2005","62","","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Health Status","   Low 95% confidence interval","","","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Health Status","   High 95% confidence interval","","","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Health Status","Adult obesity, 2005","63","","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Health Status","   Low 95% confidence interval","","","","","",
"6001003","Yukon Territory","YUKON","WATSON LAKE","Town","Health Status","   High 95% confidence interval","","","","","",
"6001004","Yukon Territory","YUKON","FARO","Town","Population and Dwelling Counts","Population in 2001","1","313","","","",
"6001004","Yukon Territory","YUKON","FARO","Town","Population and Dwelling Counts"," Population in 1996","2","1261","","","",
"6001004","Yukon Territory","YUKON","FARO","Town","Population and Dwelling Counts"," 1996 to 2001 population change (%)","","-75.2","","","",
"6001004","Yukon Territory","YUKON","FARO","Town","Population and Dwelling Counts"," Total private dwellings","","469","","","",
"6001004","Yukon Territory","YUKON","FARO","Town","Population and Dwelling Counts"," Population density per square kilometre","","1.5","","","",
"6001004","Yukon Territory","YUKON","FARO","Town","Population and Dwelling Counts"," Land area (square km)","","203.57","","","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","Total - All persons","3","315","170","145","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 0-4","","10","15","5","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 5-14","","50","25","25","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 15-19","","40","20","20","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 20-24","","15","5","5","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 25-44","","95","45","50","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 45-54","","60","35","25","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 55-64","","25","15","10","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 65-74","","15","5","5","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 75-84","","5","0","0","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population","   Age 85 and over","","0","0","0","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population"," Median age of the population","","39.2","39.3","39.1","",
"6001004","Yukon Territory","YUKON","FARO","Town","Age Characteristics of the Population"," % of the population ages 15 and over","","80.6","81.8","82.8","",
"6001004","Yukon Territory","YUKON","FARO","Town","Common-law Status","Total - Population 15 years and over","4","250","135","115","",
"6001004","Yukon Territory","YUKON","FARO","Town","Common-law Status","   Not in a common-law relationship","","225","120","105","",
"6001004","Yukon Territory","YUKON","FARO","Town","Common-law Status","   In a common-law relationship","","25","15","15","",
"6001004","Yukon Territory","YUKON","FARO","Town","Legal Marital Status","Total - Population 15 years and over","5","250","135","120","",
"6001004","Yukon Territory","YUKON","FARO","Town","Legal Marital Status","   Single","6","90","50","40","",
"6001004","Yukon Territory","YUKON","FARO","Town","Legal Marital Status","   Married","7","120","60","60","",
"6001004","Yukon Territory","YUKON","FARO","Town","Legal Marital Status","   Separated","8","5","0","5","",
"6001004","Yukon Territory","YUKON","FARO","Town","Legal Marital Status","   Divorced","9","30","20","10","",
"6001004","Yukon Territory","YUKON","FARO","Town","Legal Marital Status","   Widowed","10","5","5","5","",
"6001004","Yukon Territory","YUKON","FARO","Town","Language(s) First Learned and Still Understood","Total - All persons","19","315","170","145","",
"6001004","Yukon Territory","YUKON","FARO","Town","Language(s) First Learned and Still Understood","   English only","","285","150","135","",
"6001004","Yukon Territory","YUKON","FARO","Town","Language(s) First Learned and Still Understood","   French only","","0","0","0","",
"6001004","Yukon Territory","YUKON","FARO","Town","Language(s) First Learned and Still Understood","   Both English and French","","0","0","0","",
"6001004","Yukon Territory","YUKON","FARO","Town","Language(s) First Learned and Still Understood","   Other languages","20","20","10","10","",
