2001 Community Profiles

"Geo_Code","Prov_Name","CD_Name","CSD_Name","CSD_Type","Topic","Characteristic","Note","Total","Male","Female","Flag"
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mobility Status - Place of Residence 1 Year Ago","   Lived in a different province/territory or country 1 year ago","","10","15","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mobility Status - Place of Residence 5 Years Ago","Total population 5 years and over","22","7260","3635","3625","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mobility Status - Place of Residence 5 Years Ago","   Lived at the same address 5 years ago","","5500","2780","2715","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mobility Status - Place of Residence 5 Years Ago","   Lived within the same province/territory 5 years ago, but changed address","","1645","790","860","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mobility Status - Place of Residence 5 Years Ago","   Lived in a different province/territory or country 5 years ago","","120","70","50","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Immigration Characteristics","Total - All persons","","7645","3835","3815","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Immigration Characteristics","   Canadian-born population","23","7520","3745","3775","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Immigration Characteristics","   Foreign-born population","24","125","85","45","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Immigration Characteristics","      Immigrated before 1991","","130","85","40","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Immigration Characteristics","      Immigrated between 1991 and 2001","25","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Immigration Characteristics","   Non-permanent residents","26","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Aboriginal Population","Total - All persons","","7650","3830","3810","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Aboriginal Population","   Aboriginal identity population","27","80","40","35","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Aboriginal Population","   Non-Aboriginal population","","7570","3795","3780","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","Total population by visible minority groups","","7650","3835","3815","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","   Visible minority population","31","65","25","35","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Chinese","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      South Asian","","10","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Black","","50","20","35","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Filipino","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Latin American","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Southeast Asian","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Arab","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      West Asian","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Korean","","10","10","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Japanese","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Visible minority, n.i.e","28","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","      Multiple visible minorities","29","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Visible Minority Status","   All others","30","7580","3810","3780","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","Total - Religion","","7650","3835","3815","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Catholic","57","330","150","180","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Protestant","","6255","3080","3165","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Christian Orthodox","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Christian, n.i.e.","58","115","45","65","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Muslim","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Jewish","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Buddhist","","10","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Hindu","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Sikh","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Eastern religions","59","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   Other religions","60","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Religion","   No religious affiliation","61","945","545","395","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","School Attendance","Total population 15 years and over attending school full time","","545","225","320","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","School Attendance","   Age group 15-19 attending full time","50","370","175","195","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","School Attendance","   Age group 20-24 attending full time","","115","40","75","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","School Attendance","Total population 15 years and over attending school part time","","70","55","10","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","School Attendance","   Age group 15-19 attending part time","50","15","15","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","School Attendance","   Age group 20-24 attending part time","","15","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","Total population aged 20-34","","1535","790","745","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 20-34 with less than a high school graduation certificate","","35.8","40.5","30.2","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 20-34 with a high school graduation certificate and/or some postsecondary","46","28","32.3","24.2","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 20-34 with a trades certificate or diploma","","12.1","10.8","14.1","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 20-34 with a college certificate or diploma","47","17.9","10.8","26.2","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 20-34 with a university certificate, diploma or degree","","6.2","6.3","6","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","Total population aged 35-44","","1285","660","625","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 35-44 with less than a high school graduation certificate","","42.8","51.5","33.6","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 35-44 with a high school graduation certificate and/or some postsecondary","46","21.8","19.7","24","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 35-44 with a trades certificate or diploma","","15.6","18.2","13.6","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 35-44 with a college certificate or diploma","47","16","9.8","22.4","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 35-44 with a university certificate, diploma or degree","","3.9","1.5","6.4","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","Total population aged 45-64","","1865","945","915","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 45-64 with less than a high school graduation certificate","","59.5","63","56.3","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 45-64 with a high school graduation certificate and/or some postsecondary","46","11.8","7.4","16.4","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 45-64 with a trades certificate or diploma","","10.7","15.3","6.6","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 45-64 with a college certificate or diploma","47","12.6","9.5","16.4","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Highest Level of Schooling","   % of the population aged 45-64 with a university certificate, diploma or degree","","5.4","4.8","5.5","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Earnings in 2000"," All persons with earnings (counts)","48","4110","2390","1725","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Earnings in 2000"," Average earnings (all persons with earnings ($))","","25350","33994","13380","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Earnings in 2000"," Worked full year, full time (counts)","49","1260","845","415","R",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Earnings in 2000"," Average earnings (worked full year, full time ($))","","35275","40680","24411","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Income in 2000","Persons 15 years of age and over with income","53","5855","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Income in 2000","Median total income of persons 15 years of age and over ($)","54","17088","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Income in 2000","Composition of total income (100%)","62","100","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Income in 2000","   Earnings - % of income","","71.8","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Income in 2000","   Government transfers - % of income","","21.5","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Income in 2000","   Other money - % of income","","6.7","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language Used Most Often at Work","Total - Population 15 years and over who worked since 2000","44","4250","2500","1755","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language Used Most Often at Work","   English","","4240","2490","1750","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language Used Most Often at Work","   French","","0","0","10","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language Used Most Often at Work","   Non-official language","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language Used Most Often at Work","   English and French","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language Used Most Often at Work","   English and non-official language","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language Used Most Often at Work","   French and non-official language","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Language Used Most Often at Work","   English, French and non-official language","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Place of Work Status","Employed labour force 15 years and over","32","3365","2080","1285","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Place of Work Status","   Worked at home","","225","65","155","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Place of Work Status","   Worked outside Canada","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Place of Work Status","   No fixed workplace address","","870","765","100","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Place of Work Status","   Worked at usual place","","2265","1250","1025","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mode of Transportation to Work","Total -All modes","33","3135","2015","1125","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mode of Transportation to Work","   Car, truck, van, as driver","","2575","1625","950","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mode of Transportation to Work","   Car, truck, van, as passenger","","375","265","105","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mode of Transportation to Work","   Public transit","","0","0","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mode of Transportation to Work","   Walked or bicycled","","115","65","50","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Mode of Transportation to Work","   Other method","","70","55","15","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Unpaid Work"," Persons reporting hours of unpaid work","34","5545","2665","2875","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Unpaid Work"," Persons reporting hours of unpaid housework","35","5435","2580","2860","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Unpaid Work"," Persons reporting hours looking after children, without pay","36","2590","1115","1475","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Unpaid Work"," Persons reporting hours of unpaid care or assistance to seniors","37","1210","475","735","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Labour Force Indicators"," Participation rate","38","63.5","74.4","52.5","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Labour Force Indicators"," Employment rate","39","54.4","66.7","42.1","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Labour Force Indicators"," Unemployment rate","40","14.2","10.1","20.3","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Industry","Total - Experienced labour force","41","3875","2300","1575","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Industry","   Agriculture and other resource-based industries","","1320","1180","140","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Industry","   Manufacturing and construction industries","","1085","565","515","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Industry","   Wholesale and retail trade","","455","200","250","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Industry","   Finance and real estate","","25","10","15","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Industry","   Health and education","","335","65","270","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Industry","   Business services","","230","110","130","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Industry","   Other services","","430","165","255","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","Total - Experienced labour force","41","3870","2300","1575","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Management occupations","","220","155","70","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Business, finance and administration occupations","","465","65","400","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Natural and applied sciences and related occupations","","40","45","0","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Health occupations","","105","15","95","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Social science, education, government service and religion","","100","45","55","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Art, culture, recreation and sport","","65","20","45","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Sales and service occupations","","575","115","455","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Trades, transport and equipment operators and related occupations","","340","325","15","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Occupations unique to primary industry","","1270","1200","70","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Occupation","   Occupations unique to processing, manufacturing and utilities","","700","325","375","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","Total number of families","","2380","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Number of married-couple families","","1770","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Average number of persons in married-couple families","","2.9","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Number of common-law couple families","11","285","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Average number of persons in common-law-couple families","11","2.9","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Number of lone-parent families","12","325","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Average number of persons in lone-parent families","12","2.5","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Number of female lone-parent families","12","220","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Average number of persons in female lone-parent families","12","2.6","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Number of male lone-parent families","12","105","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Average number of persons in male lone-parent families","12","2.5","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","Median family income, 2000 ($) - All census families","51","45880","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Median family income, 2000 ($) - Couple families","52","50640","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Family Characteristics","   Median family income, 2000 ($) - Lone-parent families","","21369","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","Total - All private households","","3000","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","   Households containing a couple (married or common-law) with children","13","1015","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","   Households containing a couple (married or common-law) without children","14","1015","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","   One-person households","","620","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","   Other household types","15","360","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","Median household income, 2000 ($) - All households","","42248","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","   Median household income, 2000 ($) - One-person households","","15564","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","   Median household income, 2000 ($) - Two-or-more-persons households","","47659","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","Number of rented dwellings","55","370","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","   Average gross monthly payments for rented dwellings ($)","","481","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","Number of owner-occupied dwellings","56","2630","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Household Characteristics","   Average monthly payments for owner-occupied dwellings ($)","","469","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Occupied Private Dwelling Characteristics","Total number of dwellings","16","3005","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Occupied Private Dwelling Characteristics","   Number of owned dwellings","17","2635","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Occupied Private Dwelling Characteristics","   Number of rented dwellings","18","370","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Occupied Private Dwelling Characteristics","   Number of dwellings constructed before 1991","","2625","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Occupied Private Dwelling Characteristics","   Number of dwellings constructed between 1991 and 2001","","380","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Selected Occupied Private Dwelling Characteristics","   Average value of dwelling ($)","","84471","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Health Status","Self-rated health, 2005","62","","","","",
"1201001","Nova Scotia","SHELBURNE COUNTY","BARRINGTON","Municipal District","Health Status","   Low 95% confidence interval","","","","","",
